category_code,category_name,sort_order
68080704,"医用压缩气体供应系统",592
68080705,"医用气体汇流排",593
68080706,"医用气体报警系统",594
6809,"物理治疗器械",595
680901,"物理治疗器械-电疗设备/器具",596
68090101,"电位治疗设备",597
68090102,"直流电治疗设备",598
68090103,"低中频治疗设备",599
68090104,"静电贴敷器具",600
68090105,"神经和肌肉刺激器用电极",601
680902,"物理治疗器械-温热（冷）治疗设备/器具",602
68090201,"热传导治疗设备",603
68090202,"热辐射治疗设备",604
68090203,"物理降温设备",605
680903,"物理治疗器械-光治疗设备",606
68090301,"激光治疗设备",607
68090302,"光动力激光治疗设备",608
68090303,"光动力治疗设备",609
68090304,"强脉冲光治疗设备",610
68090305,"红光治疗设备",611
68090306,"蓝光治疗设备",612
68090307,"紫外治疗设备",613
68090308,"光治疗设备附件",614
680904,"物理治疗器械-力疗设备/器具",615
68090401,"负压（振动）治疗设备",616
68090402,"加压治疗设备",617
68090403,"牵引治疗设备",618
68090404,"牵引器具",619
68090405,"冲击波治疗设备",620
68090406,"气囊式体外反搏装置",621
680905,"物理治疗器械-磁疗设备/器具",622
68090501,"动磁场治疗设备",623
68090502,"静磁场治疗器具",624
680906,"物理治疗器械-超声治疗设备",625
68090601,"超声治疗设备",626
68090602,"超声治疗设备附件",627
680907,"物理治疗器械-高频治疗设备",628
68090701,"射频热疗设备",629
68090702,"射频浅表治疗设备",630
68090703,"微波治疗设备",631
68090704,"短波治疗仪",632
68090705,"毫米波治疗设备",633
680908,"物理治疗器械-其他物理治疗设备",634
68090801,"医用氧舱",635
68090802,"臭氧治疗设备",636
68090803,"生物反馈治疗设备",637
68090804,"烧烫伤浸浴装置",638
68090805,"肠道水疗机",639
68090806,"药物导入设备",640
6810,"输血、透析和体外循环器械",641
681001,"输血、透析和体外循环器械-血液分离、处理、贮存设备",642
68100101,"血液成分分离设备",643
68100102,"自体血液回收设备",644
68100103,"血细胞处理设备",645
68100104,"血液辐照设备",646
68100105,"血浆病毒灭活设备",647
68100106,"血液融化设备",648
681002,"输血、透析和体外循环器械-血液分离、处理、贮存器具",649
68100201,"血袋",650
68100202,"离心式血液成分分离器",651
68100203,"动静脉穿刺器",652
68100204,"输血器",653
68100205,"自体血液处理器具",654
68100206,"血浆管路",655
68100207,"冰冻红细胞洗涤机用管路",656
68100208,"富血小板血浆制备器",657
681003,"输血、透析和体外循环器械-血液净化及腹膜透析设备",658
68100301,"血液透析设备",659
68100302,"连续性血液净化设备",660
68100303,"血液灌流设备",661
68100304,"人工肝设备",662
68100305,"血液透析辅助设备",663
68100306,"腹膜透析设备",664
68100307,"腹膜透析辅助设备",665
68100308,"血脂分离设备",666
681004,"输血、透析和体外循环器械-血液净化及腹膜透析器具",667
68100401,"血液透析器具",668
68100402,"血液灌流器具",669
68100403,"血液净化辅助器具",670
68100404,"腹膜透析器具",671
68100405,"血脂分离器具",672
681005,"输血、透析和体外循环器械-心肺转流设备",673
68100501,"心肺转流用泵",674
68100502,"心肺转流监测设备",675
68100503,"热交换设备",676
68100504,"体外心肺支持辅助系统",677
68100505,"体外心肺支持用升温仪",678
681006,"输血、透析和体外循环器械-心肺转流器具",679
68100601,"氧合器",680
68100602,"贮血滤血器",681
